gene	population	piN	piS	piN_piS	sites_used	ref_fasta	genetic_code
aars2	WK	0.000387213	0.000553916	0.699047	2834	/work/cyu/stickleback_nuclear_only.fa	1
aars2	SWA	0.000238728	0.000693853	0.344061	2834	/work/cyu/stickleback_nuclear_only.fa	1
acad9	THE	0.00218245	0.00123258	1.77063	1881	/work/cyu/stickleback_nuclear_only.fa	1
acad9	JOE	0.000654251	0.000308315	2.12202	1881	/work/cyu/stickleback_nuclear_only.fa	1
acad9	BEA	0.000957349	0.00079564	1.20324	1878	/work/cyu/stickleback_nuclear_only.fa	1
acad9	MUC	0.000226055	9.64449e-05	2.34388	1880	/work/cyu/stickleback_nuclear_only.fa	1
acad9	PYE	0.00205983	0.00124082	1.66006	1881	/work/cyu/stickleback_nuclear_only.fa	1
acad9	AMO	0.00221909	0.00070003	3.17	1881	/work/cyu/stickleback_nuclear_only.fa	1
acad9	SAY	0.00235399	0.00111636	2.10862	1881	/work/cyu/stickleback_nuclear_only.fa	1
acad9	GOS	0.00104758	0.000375726	2.78814	1880	/work/cyu/stickleback_nuclear_only.fa	1
acad9	ROB	0.00215694	0.000837888	2.57426	1881	/work/cyu/stickleback_nuclear_only.fa	1
acad9	FG	0.00193274	0.00093273	2.07213	1881	/work/cyu/stickleback_nuclear_only.fa	1
acad9	BOOT	0.00118805	0.000814365	1.45886	1881	/work/cyu/stickleback_nuclear_only.fa	1
acad9	ECHO	0.000954127	0.000514649	1.85394	1881	/work/cyu/stickleback_nuclear_only.fa	1
acad9	FRED	0.00182122	0.000863136	2.11001	1881	/work/cyu/stickleback_nuclear_only.fa	1
acad9	LAW	0.000871133	0.000477445	1.82457	1881	/work/cyu/stickleback_nuclear_only.fa	1
acad9	PACH	0.00216468	0.000516348	4.19229	1881	/work/cyu/stickleback_nuclear_only.fa	1
acad9	RS	0.00344317	0.00135435	2.5423	1881	/work/cyu/stickleback_nuclear_only.fa	1
acad9	SC	0.00242481	0.000943429	2.57021	1881	/work/cyu/stickleback_nuclear_only.fa	1
acad9	LB	0.00302651	0.00110895	2.72917	1881	/work/cyu/stickleback_nuclear_only.fa	1
acad9	CH	0.00241496	0.00110457	2.18633	1881	/work/cyu/stickleback_nuclear_only.fa	1
acad9	LG	0.00222259	0.000982286	2.26267	1881	/work/cyu/stickleback_nuclear_only.fa	1
acad9	SR	0.00120423	0.00132779	0.906941	1881	/work/cyu/stickleback_nuclear_only.fa	1
acad9	SL	0.00197803	0.00109949	1.79904	1881	/work/cyu/stickleback_nuclear_only.fa	1
acad9	TL	0.00176038	0.000512501	3.43488	1881	/work/cyu/stickleback_nuclear_only.fa	1
acad9	WB	0.00164847	0.00137305	1.20059	1881	/work/cyu/stickleback_nuclear_only.fa	1
acad9	WT	0.00230638	0.00102522	2.24964	1881	/work/cyu/stickleback_nuclear_only.fa	1
acad9	WK	0.00142816	0.00114249	1.25004	1881	/work/cyu/stickleback_nuclear_only.fa	1
acad9	SWA	0.00159215	0.000411911	3.86528	1880	/work/cyu/stickleback_nuclear_only.fa	1
aifm1	THE	0.000546869	0.000241602	2.26351	2070	/work/cyu/stickleback_nuclear_only.fa	1
aifm1	JOE	0.00216472	0.000785312	2.75651	2070	/work/cyu/stickleback_nuclear_only.fa	1
aifm1	BEA	0.00228757	0.000559725	4.08696	2070	/work/cyu/stickleback_nuclear_only.fa	1
aifm1	MUC	0.000479936	0.000496676	0.966296	2069	/work/cyu/stickleback_nuclear_only.fa	1
aifm1	PYE	0.00375424	0.00143433	2.61741	2070	/work/cyu/stickleback_nuclear_only.fa	1
aifm1	AMO	0.00261026	0.000874319	2.98547	2070	/work/cyu/stickleback_nuclear_only.fa	1
aifm1	SAY	0.00351501	0.000993005	3.53977	2070	/work/cyu/stickleback_nuclear_only.fa	1
aifm1	GOS	0.00191528	0.000778449	2.46038	2070	/work/cyu/stickleback_nuclear_only.fa	1
aifm1	ROB	0.00196484	0.000539071	3.64487	2069	/work/cyu/stickleback_nuclear_only.fa	1
aifm1	FG	0.00167281	0.000344393	4.85728	2070	/work/cyu/stickleback_nuclear_only.fa	1
aifm1	BOOT	0.00280118	0.00139646	2.00592	2070	/work/cyu/stickleback_nuclear_only.fa	1
aifm1	ECHO	0.00170109	0.000752955	2.25922	2070	/work/cyu/stickleback_nuclear_only.fa	1
aifm1	FRED	0.00151201	0.00028646	5.27826	2070	/work/cyu/stickleback_nuclear_only.fa	1
aifm1	LAW	0.00317942	0.00135366	2.34876	2070	/work/cyu/stickleback_nuclear_only.fa	1
aifm1	PACH	0.00112105	7.76592e-05	14.4356	2064	/work/cyu/stickleback_nuclear_only.fa	1
aifm1	RS	0.00225088	0.000581258	3.87242	2061	/work/cyu/stickleback_nuclear_only.fa	1
aifm1	SC	0.00319242	0.00120454	2.65031	2070	/work/cyu/stickleback_nuclear_only.fa	1
aifm1	LB	0.00178959	0.000433049	4.13254	2070	/work/cyu/stickleback_nuclear_only.fa	1
aifm1	CH	0.00330378	0.00119054	2.77502	2070	/work/cyu/stickleback_nuclear_only.fa	1
aifm1	LG	0.000783325	8.59567e-05	9.11302	2070	/work/cyu/stickleback_nuclear_only.fa	1
aifm1	SR	0.00094388	0.000170823	5.52548	2070	/work/cyu/stickleback_nuclear_only.fa	1
aifm1	SL	0.0010729	0.000421037	2.54823	2070	/work/cyu/stickleback_nuclear_only.fa	1
aifm1	TL	0.00307119	0.00115555	2.65777	2070	/work/cyu/stickleback_nuclear_only.fa	1
aifm1	WB	0.000835269	0.000127075	6.57305	2070	/work/cyu/stickleback_nuclear_only.fa	1
aifm1	WT	0.00269898	0.000833966	3.23632	2070	/work/cyu/stickleback_nuclear_only.fa	1
aifm1	WK	0.00107011	0.000319603	3.34824	2070	/work/cyu/stickleback_nuclear_only.fa	1
aifm1	SWA	0.00308491	0.00139217	2.2159	2070	/work/cyu/stickleback_nuclear_only.fa	1
aimp1	THE	0.00201415	0.00104604	1.9255	945	/work/cyu/stickleback_nuclear_only.fa	1
aimp1	JOE	0.00145119	0.000182272	7.96169	945	/work/cyu/stickleback_nuclear_only.fa	1
aimp1	BEA	0.00176195	0.000482239	3.65369	945	/work/cyu/stickleback_nuclear_only.fa	1
aimp1	MUC	0.00110044	0.00112721	0.976249	945	/work/cyu/stickleback_nuclear_only.fa	1
aimp1	PYE	0.00132559	0.00117399	1.12913	945	/work/cyu/stickleback_nuclear_only.fa	1
aimp1	AMO	0.00159572	0.000688222	2.31862	945	/work/cyu/stickleback_nuclear_only.fa	1
aimp1	SAY	0.00131235	0.00121359	1.08137	945	/work/cyu/stickleback_nuclear_only.fa	1
aimp1	GOS	0.00213373	0.00107385	1.98699	945	/work/cyu/stickleback_nuclear_only.fa	1
aimp1	ROB	0.00179318	0.00136939	1.30947	945	/work/cyu/stickleback_nuclear_only.fa	1
aimp1	FG	0.00102335	0.000926651	1.10436	945	/work/cyu/stickleback_nuclear_only.fa	1
aimp1	BOOT	0.00151759	0.000682518	2.22352	945	/work/cyu/stickleback_nuclear_only.fa	1
aimp1	ECHO	0.00220732	0.00108283	2.03847	945	/work/cyu/stickleback_nuclear_only.fa	1
aimp1	FRED	0.000373893	0.000607745	0.615213	945	/work/cyu/stickleback_nuclear_only.fa	1
aimp1	LAW	0.00122809	0.000688072	1.78483	945	/work/cyu/stickleback_nuclear_only.fa	1
aimp1	PACH	0.000736878	0.000514764	1.43149	945	/work/cyu/stickleback_nuclear_only.fa	1
aimp1	RS	0.00212826	0.00121187	1.75618	945	/work/cyu/stickleback_nuclear_only.fa	1
aimp1	SC	0.000897201	0.00112566	0.797046	945	/work/cyu/stickleback_nuclear_only.fa	1
aimp1	LB	0.00171896	0.000926131	1.85606	945	/work/cyu/stickleback_nuclear_only.fa	1
aimp1	CH	0.00185873	0.00120495	1.54259	945	/work/cyu/stickleback_nuclear_only.fa	1
aimp1	LG	0.00115769	0.00105184	1.10063	945	/work/cyu/stickleback_nuclear_only.fa	1
aimp1	SR	0.00152126	0.00125882	1.20848	945	/work/cyu/stickleback_nuclear_only.fa	1
aimp1	SL	0.00107526	0.000952815	1.12851	945	/work/cyu/stickleback_nuclear_only.fa	1
aimp1	TL	0.000626776	0.000209683	2.98916	945	/work/cyu/stickleback_nuclear_only.fa	1
aimp1	WB	0.00105162	0.000916869	1.14697	945	/work/cyu/stickleback_nuclear_only.fa	1
aimp1	WT	0.00144144	0.00177916	0.81018	945	/work/cyu/stickleback_nuclear_only.fa	1
aimp1	WK	0.00114155	0.00075012	1.52183	945	/work/cyu/stickleback_nuclear_only.fa	1
aimp1	SWA	0.000487904	0.000196231	2.48638	945	/work/cyu/stickleback_nuclear_only.fa	1
aimp2	THE	0.00184719	0.000928432	1.98958	948	/work/cyu/stickleback_nuclear_only.fa	1
aimp2	JOE	0.0014876	0.000505609	2.9422	948	/work/cyu/stickleback_nuclear_only.fa	1
aimp2	BEA	0.000322463	6.51807e-05	4.94722	948	/work/cyu/stickleback_nuclear_only.fa	1
aimp2	MUC	0.00027093	0.000143547	1.8874	948	/work/cyu/stickleback_nuclear_only.fa	1
aimp2	PYE	0.000772314	0.000934066	0.82683	948	/work/cyu/stickleback_nuclear_only.fa	1
aimp2	AMO	0.00211132	0.000483033	4.37096	948	/work/cyu/stickleback_nuclear_only.fa	1
aimp2	SAY	0.00111548	0.000488849	2.28185	948	/work/cyu/stickleback_nuclear_only.fa	1
aimp2	GOS	0.00108673	0.000527236	2.06118	948	/work/cyu/stickleback_nuclear_only.fa	1
aimp2	ROB	0.00150592	0.00102058	1.47555	948	/work/cyu/stickleback_nuclear_only.fa	1
aimp2	FG	0.000915633	7.21242e-05	12.6952	948	/work/cyu/stickleback_nuclear_only.fa	1
aimp2	BOOT	0.00149292	0.000570263	2.61795	948	/work/cyu/stickleback_nuclear_only.fa	1
aimp2	ECHO	9.5025e-05	3.98592e-05	2.38402	948	/work/cyu/stickleback_nuclear_only.fa	1
aimp2	FRED	0.00028778	0.00044928	0.640537	948	/work/cyu/stickleback_nuclear_only.fa	1
aimp2	LAW	0.00133387	0.000775459	1.7201	948	/work/cyu/stickleback_nuclear_only.fa	1
aimp2	PACH	0.000754142	0.000993922	0.758754	948	/work/cyu/stickleback_nuclear_only.fa	1
aimp2	RS	0.00180863	0.000756586	2.39051	948	/work/cyu/stickleback_nuclear_only.fa	1
aimp2	SC	0.000876834	0.00040009	2.19159	948	/work/cyu/stickleback_nuclear_only.fa	1
aimp2	LB	0.00105881	0.000176573	5.99643	948	/work/cyu/stickleback_nuclear_only.fa	1
aimp2	CH	0.000836742	0.000297789	2.80985	948	/work/cyu/stickleback_nuclear_only.fa	1
aimp2	LG	0.000529865	7.36366e-05	7.19567	948	/work/cyu/stickleback_nuclear_only.fa	1
aimp2	SR	0.00112155	0.000796585	1.40794	948	/work/cyu/stickleback_nuclear_only.fa	1
aimp2	SL	0.000685078	7.35014e-05	9.32062	948	/work/cyu/stickleback_nuclear_only.fa	1
aimp2	TL	0.000739241	0.00126092	0.586272	948	/work/cyu/stickleback_nuclear_only.fa	1
aimp2	WB	0.000842154	0.000354388	2.37636	948	/work/cyu/stickleback_nuclear_only.fa	1
aimp2	WT	0.000500427	0.00017919	2.79271	948	/work/cyu/stickleback_nuclear_only.fa	1
aimp2	WK	0.000773895	7.06681e-05	10.9511	948	/work/cyu/stickleback_nuclear_only.fa	1
aimp2	SWA	0.000254116	6.56555e-05	3.87045	948	/work/cyu/stickleback_nuclear_only.fa	1
atp5f1a	THE	0.00139009	0.000403918	3.44151	1650	/work/cyu/stickleback_nuclear_only.fa	1
atp5f1a	JOE	0.000476843	0.000137481	3.46843	1650	/work/cyu/stickleback_nuclear_only.fa	1
atp5f1a	BEA	0.00107153	0.000473592	2.26255	1650	/work/cyu/stickleback_nuclear_only.fa	1
atp5f1a	MUC	0.000917668	0.000508565	1.80442	1650	/work/cyu/stickleback_nuclear_only.fa	1
atp5f1a	PYE	0.00201012	0.00061882	3.24832	1650	/work/cyu/stickleback_nuclear_only.fa	1
atp5f1a	AMO	0.00116899	0.000539879	2.16529	1650	/work/cyu/stickleback_nuclear_only.fa	1
atp5f1a	SAY	0.00153798	0.000731749	2.10179	1650	/work/cyu/stickleback_nuclear_only.fa	1
atp5f1a	GOS	0.000720361	0.000229979	3.13229	1650	/work/cyu/stickleback_nuclear_only.fa	1
atp5f1a	ROB	0.0017128	0.000642782	2.66467	1650	/work/cyu/stickleback_nuclear_only.fa	1
atp5f1a	FG	0.00113117	0.000354526	3.19066	1650	/work/cyu/stickleback_nuclear_only.fa	1
atp5f1a	BOOT	0.00124501	0.000628967	1.97945	1650	/work/cyu/stickleback_nuclear_only.fa	1
atp5f1a	ECHO	0.000359064	0.000122941	2.92062	1650	/work/cyu/stickleback_nuclear_only.fa	1
atp5f1a	FRED	0.0008205	0.000427805	1.91793	1650	/work/cyu/stickleback_nuclear_only.fa	1
atp5f1a	LAW	0.00149038	0.000597439	2.49462	1650	/work/cyu/stickleback_nuclear_only.fa	1
atp5f1a	PACH	0.000608462	0.000152861	3.98048	1650	/work/cyu/stickleback_nuclear_only.fa	1
atp5f1a	RS	0.00236644	0.000907637	2.60726	1650	/work/cyu/stickleback_nuclear_only.fa	1
atp5f1a	SC	0.00153549	0.000559447	2.74466	1650	/work/cyu/stickleback_nuclear_only.fa	1
atp5f1a	LB	0.00182854	0.000918144	1.99156	1650	/work/cyu/stickleback_nuclear_only.fa	1
atp5f1a	CH	0.00153101	0.000575556	2.66005	1650	/work/cyu/stickleback_nuclear_only.fa	1
atp5f1a	LG	0.00174712	0.000760927	2.29604	1650	/work/cyu/stickleback_nuclear_only.fa	1
atp5f1a	SR	0.00127486	0.0001244	10.2481	1650	/work/cyu/stickleback_nuclear_only.fa	1
atp5f1a	SL	0.00129843	0.000701818	1.8501	1650	/work/cyu/stickleback_nuclear_only.fa	1
atp5f1a	TL	0.000730298	0.000116205	6.28459	1650	/work/cyu/stickleback_nuclear_only.fa	1
atp5f1a	WB	0.00163383	0.000640328	2.55155	1650	/work/cyu/stickleback_nuclear_only.fa	1
atp5f1a	WT	0.00112507	0.000520692	2.16073	1650	/work/cyu/stickleback_nuclear_only.fa	1
atp5f1a	WK	0.000746271	8.25353e-05	9.04184	1650	/work/cyu/stickleback_nuclear_only.fa	1
atp5f1a	SWA	0.00133133	0.000217755	6.11387	1650	/work/cyu/stickleback_nuclear_only.fa	1
atp5f1b	THE	0.000550597	0.00365203	0.150765	1584	/work/cyu/stickleback_nuclear_only.fa	1
atp5f1b	JOE	0.000375393	0.000475711	0.789121	1584	/work/cyu/stickleback_nuclear_only.fa	1
atp5f1b	BEA	0.000477566	0.00218573	0.218493	1584	/work/cyu/stickleback_nuclear_only.fa	1
atp5f1b	MUC	0.000291757	0.00164474	0.177388	1584	/work/cyu/stickleback_nuclear_only.fa	1
atp5f1b	PYE	0.000504431	0.00256552	0.196619	1584	/work/cyu/stickleback_nuclear_only.fa	1
atp5f1b	AMO	0.000592413	0.00285145	0.207759	1584	/work/cyu/stickleback_nuclear_only.fa	1
atp5f1b	SAY	0.00044239	0.00369085	0.119861	1584	/work/cyu/stickleback_nuclear_only.fa	1
atp5f1b	GOS	0.000185889	0.00185245	0.100348	1584	/work/cyu/stickleback_nuclear_only.fa	1
atp5f1b	ROB	0.00049885	0.0033454	0.149115	1584	/work/cyu/stickleback_nuclear_only.fa	1
atp5f1b	FG	0.00017408	0.00334234	0.0520833	1584	/work/cyu/stickleback_nuclear_only.fa	1
atp5f1b	BOOT	0.000357544	0.00160007	0.223455	1584	/work/cyu/stickleback_nuclear_only.fa	1
atp5f1b	ECHO	0.000102965	0.0017714	0.058126	1584	/work/cyu/stickleback_nuclear_only.fa	1
atp5f1b	FRED	0.000228455	0.00164532	0.138851	1584	/work/cyu/stickleback_nuclear_only.fa	1
atp5f1b	LAW	0.000448302	0.00293453	0.152768	1584	/work/cyu/stickleback_nuclear_only.fa	1
atp5f1b	PACH	0.000217122	0.000976545	0.222337	1584	/work/cyu/stickleback_nuclear_only.fa	1
atp5f1b	RS	0.00104963	0.0035399	0.296514	1584	/work/cyu/stickleback_nuclear_only.fa	1
atp5f1b	SC	0.000433805	0.00301304	0.143976	1584	/work/cyu/stickleback_nuclear_only.fa	1
atp5f1b	LB	0.000756726	0.00218954	0.345609	1584	/work/cyu/stickleback_nuclear_only.fa	1
atp5f1b	CH	0.000291047	0.00327345	0.0889112	1584	/work/cyu/stickleback_nuclear_only.fa	1
atp5f1b	LG	0.000241081	0.00343254	0.070234	1584	/work/cyu/stickleback_nuclear_only.fa	1
atp5f1b	SR	0.000503881	0.00293071	0.171932	1584	/work/cyu/stickleback_nuclear_only.fa	1
atp5f1b	SL	0.000363088	0.00247579	0.146655	1584	/work/cyu/stickleback_nuclear_only.fa	1
atp5f1b	TL	0.000254839	0.00183822	0.138633	1584	/work/cyu/stickleback_nuclear_only.fa	1
atp5f1b	WB	0.000275865	0.00300422	0.0918259	1584	/work/cyu/stickleback_nuclear_only.fa	1
atp5f1b	WT	0.000318196	0.00276349	0.115143	1584	/work/cyu/stickleback_nuclear_only.fa	1
atp5f1b	WK	0.00081495	0.00328809	0.247849	1584	/work/cyu/stickleback_nuclear_only.fa	1
atp5f1b	SWA	0.000173613	0.0014578	0.119092	1584	/work/cyu/stickleback_nuclear_only.fa	1
atp5f1c	THE	0.00126623	0.0008717	1.45259	870	/work/cyu/stickleback_nuclear_only.fa	1
atp5f1c	JOE	0.000992484	0.000168923	5.87538	870	/work/cyu/stickleback_nuclear_only.fa	1
atp5f1c	BEA	0.000783452	0.000471056	1.66318	870	/work/cyu/stickleback_nuclear_only.fa	1
atp5f1c	MUC	0.000672608	4.13942e-05	16.2488	870	/work/cyu/stickleback_nuclear_only.fa	1
atp5f1c	PYE	0.000826275	0.0011336	0.728894	870	/work/cyu/stickleback_nuclear_only.fa	1
atp5f1c	AMO	0.000842568	0.000822332	1.02461	870	/work/cyu/stickleback_nuclear_only.fa	1
atp5f1c	SAY	0.00100037	0.00120896	0.827466	870	/work/cyu/stickleback_nuclear_only.fa	1
atp5f1c	GOS	0.000539628	0.000642599	0.839758	870	/work/cyu/stickleback_nuclear_only.fa	1
atp5f1c	ROB	0.000824796	0.000952184	0.866215	870	/work/cyu/stickleback_nuclear_only.fa	1
atp5f1c	FG	0.00112187	0.000409903	2.73693	870	/work/cyu/stickleback_nuclear_only.fa	1
atp5f1c	BOOT	0.000859312	0.000730989	1.17555	870	/work/cyu/stickleback_nuclear_only.fa	1
atp5f1c	ECHO	0.00046471	0.00044303	1.04894	870	/work/cyu/stickleback_nuclear_only.fa	1
atp5f1c	FRED	0.000588857	0.000284121	2.07255	870	/work/cyu/stickleback_nuclear_only.fa	1
atp5f1c	LAW	0.000522709	0.000458426	1.14023	870	/work/cyu/stickleback_nuclear_only.fa	1
atp5f1c	PACH	0.000367897	0.000298219	1.23365	870	/work/cyu/stickleback_nuclear_only.fa	1
atp5f1c	RS	0.00156209	0.00122499	1.27518	870	/work/cyu/stickleback_nuclear_only.fa	1
atp5f1c	SC	0.00107348	0.000864438	1.24182	870	/work/cyu/stickleback_nuclear_only.fa	1
atp5f1c	LB	0.00141233	0.000604511	2.33632	870	/work/cyu/stickleback_nuclear_only.fa	1
atp5f1c	CH	0.0010351	0.00105749	0.97882	870	/work/cyu/stickleback_nuclear_only.fa	1
atp5f1c	LG	0.000976749	0.00132427	0.737574	870	/work/cyu/stickleback_nuclear_only.fa	1
atp5f1c	SR	0.000410723	0.000808303	0.50813	870	/work/cyu/stickleback_nuclear_only.fa	1
atp5f1c	SL	0.000827331	0.00117642	0.703265	870	/work/cyu/stickleback_nuclear_only.fa	1
atp5f1c	TL	0.000268986	0.000643865	0.417768	870	/work/cyu/stickleback_nuclear_only.fa	1
atp5f1c	WB	0.000838927	0.00100518	0.834605	870	/work/cyu/stickleback_nuclear_only.fa	1
atp5f1c	WT	0.000943096	0.00122162	0.772002	870	/work/cyu/stickleback_nuclear_only.fa	1
atp5f1c	WK	0.00076581	0.000789545	0.969938	870	/work/cyu/stickleback_nuclear_only.fa	1
atp5f1c	SWA	0.000696348	0.00076109	0.914934	870	/work/cyu/stickleback_nuclear_only.fa	1
atp5f1d	THE	0.00270135	8.07997e-05	33.4327	477	/work/cyu/stickleback_nuclear_only.fa	1
atp5f1d	JOE	0.00029909	0.00019939	1.50002	477	/work/cyu/stickleback_nuclear_only.fa	1
atp5f1d	BEA	0.00149869	2.78365e-05	53.8389	477	/work/cyu/stickleback_nuclear_only.fa	1
atp5f1d	MUC	0.000840108	7.31804e-05	11.48	477	/work/cyu/stickleback_nuclear_only.fa	1
atp5f1d	PYE	0.00339362	0.00105237	3.22475	477	/work/cyu/stickleback_nuclear_only.fa	1
atp5f1d	AMO	0.00152987	0.000280761	5.449	477	/work/cyu/stickleback_nuclear_only.fa	1
atp5f1d	SAY	0.00230254	0.000180571	12.7515	477	/work/cyu/stickleback_nuclear_only.fa	1
atp5f1d	GOS	0.00123227	9.88456e-05	12.4666	477	/work/cyu/stickleback_nuclear_only.fa	1
atp5f1d	ROB	0.00215941	9.13327e-05	23.6433	477	/work/cyu/stickleback_nuclear_only.fa	1
atp5f1d	FG	0.00126735	0.000914429	1.38595	477	/work/cyu/stickleback_nuclear_only.fa	1
atp5f1d	BOOT	0.00115861	4.19464e-05	27.6212	477	/work/cyu/stickleback_nuclear_only.fa	1
atp5f1d	ECHO	0.00118281	0.00012755	9.27327	477	/work/cyu/stickleback_nuclear_only.fa	1
atp5f1d	FRED	0.00150661	0.000131837	11.4278	477	/work/cyu/stickleback_nuclear_only.fa	1
atp5f1d	LAW	0.00113458	5.43114e-05	20.8902	477	/work/cyu/stickleback_nuclear_only.fa	1
atp5f1d	PACH	0.00447655	0	NA	477	/work/cyu/stickleback_nuclear_only.fa	1
atp5f1d	RS	0.00288582	0.000638054	4.52284	477	/work/cyu/stickleback_nuclear_only.fa	1
atp5f1d	SC	0.00151527	0.000843346	1.79674	477	/work/cyu/stickleback_nuclear_only.fa	1
atp5f1d	LB	0.00166312	0.00107341	1.54938	477	/work/cyu/stickleback_nuclear_only.fa	1
atp5f1d	CH	0.00168915	0.000497876	3.3927	477	/work/cyu/stickleback_nuclear_only.fa	1
atp5f1d	LG	0.00206468	0.000997467	2.06993	477	/work/cyu/stickleback_nuclear_only.fa	1
atp5f1d	SR	0.00149427	0.000892565	1.67413	477	/work/cyu/stickleback_nuclear_only.fa	1
atp5f1d	SL	0.00119735	0.00102917	1.16342	477	/work/cyu/stickleback_nuclear_only.fa	1
atp5f1d	TL	0.000430684	0.000193046	2.23099	477	/work/cyu/stickleback_nuclear_only.fa	1
atp5f1d	WB	0.00208231	0.000311931	6.67556	477	/work/cyu/stickleback_nuclear_only.fa	1
atp5f1d	WT	0.00329314	0.00101365	3.2488	477	/work/cyu/stickleback_nuclear_only.fa	1
atp5f1d	WK	0.000961385	0.00111589	0.861541	477	/work/cyu/stickleback_nuclear_only.fa	1
atp5f1d	SWA	0.00148005	0.000206798	7.15697	477	/work/cyu/stickleback_nuclear_only.fa	1
atp5if1b	THE	0.000164666	0.000161076	1.02229	327	/work/cyu/stickleback_nuclear_only.fa	1
atp5if1b	JOE	0.000294689	0.000185444	1.5891	327	/work/cyu/stickleback_nuclear_only.fa	1
atp5if1b	BEA	0.00166911	6.17169e-05	27.0447	327	/work/cyu/stickleback_nuclear_only.fa	1
atp5if1b	MUC	0.00037437	0.000172837	2.16603	327	/work/cyu/stickleback_nuclear_only.fa	1
atp5if1b	PYE	0.000266958	0.000628876	0.424501	327	/work/cyu/stickleback_nuclear_only.fa	1
atp5if1b	AMO	0.000113308	0.00313468	0.0361465	327	/work/cyu/stickleback_nuclear_only.fa	1
atp5if1b	SAY	0.000402092	0.00130001	0.3093	327	/work/cyu/stickleback_nuclear_only.fa	1
atp5if1b	GOS	0.000326379	0.00138458	0.235725	327	/work/cyu/stickleback_nuclear_only.fa	1
atp5if1b	ROB	9.43083e-05	0.000271075	0.347905	327	/work/cyu/stickleback_nuclear_only.fa	1
atp5if1b	FG	0.000349938	0.000144497	2.42176	327	/work/cyu/stickleback_nuclear_only.fa	1
atp5if1b	BOOT	0	0.00170448	0	327	/work/cyu/stickleback_nuclear_only.fa	1
atp5if1b	ECHO	0.000351515	0	NA	327	/work/cyu/stickleback_nuclear_only.fa	1
atp5if1b	FRED	0.000565071	0.000287856	1.96304	327	/work/cyu/stickleback_nuclear_only.fa	1
atp5if1b	LAW	0.000197739	0.00160316	0.123343	327	/work/cyu/stickleback_nuclear_only.fa	1
atp5if1b	PACH	0.000315749	9.49685e-05	3.32478	327	/work/cyu/stickleback_nuclear_only.fa	1
atp5if1b	RS	0.000999149	0.000669545	1.49228	327	/work/cyu/stickleback_nuclear_only.fa	1
atp5if1b	SC	0.000297976	0.000118096	2.52316	327	/work/cyu/stickleback_nuclear_only.fa	1
atp5if1b	LB	0.000505588	7.64037e-05	6.61732	327	/work/cyu/stickleback_nuclear_only.fa	1
atp5if1b	CH	0.000451671	9.18787e-05	4.91595	327	/work/cyu/stickleback_nuclear_only.fa	1
